Frequenz,Phi,dB
10,179.9,34.6106637760552
50,179.7,34.6017960982681
100,179.6,34.592937464519
500,178.1,34.5631855774877
1.00E+03,175.4,34.4850162010726
2.00E+03,171.4,34.3282360617657
3.00E+03,168,34.1893411742515
5.00E+03,162,33.9154153433189
7.00E+03,156,33.5863719126017
1.00E+04,148,32.9702836908278
2.00E+04,128,30.4549182640084
3.00E+04,128,28.7938951355808
3.50E+04,113,26.8088822968024
4.00E+04,110,25.8451214271295
5.00E+04,106,23.969907373146
7.00E+04,101,21.2509023737833
1.00E+05,96,18.3342383947546
2.00E+05,89,12.3342455839951
3.00E+05,85,8.77898421638236
5.00E+05,78,4.41333071271924
7.00E+05,69,1.47045211939152
1.00E+06,61,-1.49636254457924
